feature,importance
V258,0.27695018
V201,0.23650353
V294,0.050986994
V70,0.018314127
V91,0.015795503
V187,0.011485727
C3,0.010435795
V156,0.0083359815
C14,0.0077655823
V225,0.0073821857
R_emaildomain,0.006938032
V324,0.0061784824
V192,0.006140337
V159,0.005538666
V339,0.0053485963
V172,0.0053483583
C8,0.0046586217
V163,0.004281553
V296,0.0041386886
id_36,0.0039509027
V118,0.003940473
C1,0.003929764
V175,0.0038463355
V196,0.0038367265
V149,0.0037064184
V121,0.0036813337
V206,0.0036057564
V308,0.0035572713
ProductCD,0.003253359
DeviceInfo,0.0032013352
V333,0.0029928437
V190,0.0029616086
V29,0.0029119966
V115,0.0028946986
D2,0.002714549
card3,0.002534409
V169,0.0024172785
V295,0.0023564266
card6,0.00234538
V165,0.0023412046
V64,0.002230642
V230,0.0021237198
V176,0.0020510976
C5,0.0020232247
V98,0.0020132991
V102,0.002003091
V323,0.0020009328
C11,0.0019946848
V285,0.0019536293
V188,0.0019479552
V99,0.0019235526
V152,0.0019189018
V45,0.0018964654
C6,0.0018698925
V184,0.0018698083
V6,0.0018434377
V48,0.0018239678
V300,0.0017343482
V34,0.0017288433
V113,0.001656856
V111,0.0016512821
id_30,0.0016361633
V244,0.0016308682
V33,0.0016213997
V281,0.0016134444
V54,0.0015709158
V67,0.0015646354
V146,0.0015526956
V62,0.0015477525
V150,0.0015425278
V289,0.001530932
id_09,0.0015128491
id_17,0.0015015274
V283,0.0014653261
id_33,0.0014577613
V56,0.0014431365
V268,0.0014337334
V26,0.0014321009
V309,0.001424737
V83,0.0013967005
V133,0.0013383462
V251,0.0013306343
V131,0.0013249253
V123,0.0013020152
V109,0.0012923386
V207,0.0012647902
V87,0.0012437297
V193,0.0012396834
V141,0.0012396084
V120,0.0012341398
V315,0.001227582
M4,0.0012250703
V151,0.0012190794
V170,0.0012172906
V136,0.0012169977
V100,0.0012081653
id_07,0.001202349
P_emaildomain,0.0011707335
V55,0.0011501042
C9,0.0011486106
V116,0.0011469134
D1,0.001146821
V124,0.0011326539
V20,0.0011154534
V266,0.0011132122
D3,0.001080128
V261,0.00107513
V63,0.0010730096
addr2,0.0010703756
V49,0.0010677995
C2,0.0010601934
V158,0.0010514124
V301,0.0010485891
C4,0.0010408277
V338,0.001039452
V260,0.0010306231
V23,0.0010223282
C13,0.0010221113
V143,0.001020549
V220,0.0010170325
V148,0.0010143387
id_31,0.0010105788
V186,0.001009186
V53,0.0010088151
id_08,0.0009892295
V2,0.0009886768
V4,0.0009830983
V288,0.0009816817
V311,0.00095396885
V320,0.00094590406
V215,0.00093724893
V317,0.0009317518
D10,0.0009275314
V82,0.00090253016
V90,0.00089935807
V224,0.00088978664
V75,0.0008741719
V272,0.0008691278
V292,0.0008628119
D15,0.00085265643
