model,features,max_depth,n_estimators,early_stopping_rounds,scale_pos_weight,best_iteration,validation_auc_pr,learning_rate,min_child_weight
XGBoost,202,4,4000,100,27.5797842920354,2958,0.8332359903810684,0.3,1
XGBoost,202,6,4000,100,27.5797842920354,3695,0.8632381629497444,0.3,1
XGBoost,202,6,6000,100,27.5797842920354,3695,0.8632381629497444,0.3,1
XGBoost,202,8,4000,100,27.5797842920354,2593,0.8673675415652871,0.3,1
XGBoost,202,10,4000,100,27.5797842920354,1709,0.8726730333413839,0.3,1
XGBoost,202,12,4000,100,27.5797842920354,3038,0.868996631514948,0.3,1
XGBoost,202,10,4000,100,27.5797842920354,3293,0.8709866772193002,0.1,1
XGBoost,202,10,4000,100,27.5797842920354,2520,0.8695040580655227,0.2,1
XGBoost,202,10,4000,100,27.5797842920354,1851,0.8678582181718887,0.2,5
XGBoost,202,10,4000,100,27.5797842920354,1498,0.86414603414895,0.3,5
XGBoost,202,10,4000,100,27.5797842920354,1709,0.8726730333413839,0.3,1
XGBoost,202,10,4000,100,27.5797842920354,1709,0.8726730333413839,0.3,1
