model,experiment_type,feature_count,feature_experiment,evaluation_stage,shap_threshold,max_depth,learning_rate,min_child_weight,n_estimators,early_stopping_rounds,scale_pos_weight,best_iteration,threshold,auc_roc,auc_pr,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive
xgboost,baseline,432,baseline,validation,,6,0.3,1,4000,100,27.5797842920354,3269,0.5,0.9690244011968704,0.8639473047060544,0.9216535433070866,0.7551612903225806,0.8301418439716312,85282,199,759,2341
xgboost,baseline,432,baseline,validation,,6,0.3,1,4000,100,27.5797842920354,3269,0.5,0.9690244011968704,0.8639473047060544,0.9216535433070866,0.7551612903225806,0.8301418439716312,85282,199,759,2341
xgboost,baseline,432,baseline,validation,,6,0.3,1,4000,100,27.5797842920354,3269,0.5,0.9690244011968704,0.8639473047060544,0.9216535433070866,0.7551612903225806,0.8301418439716312,85282,199,759,2341
xgboost,feature_selection,202,shap_threshold_0.01,validation,0.01,6,0.3,1,4000,100,27.5797842920354,3695,,,0.863093957204388,,,,,,,
xgboost,hyperparameter,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726148588913363,,,,,,,
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
xgboost,final_evaluation,202,shap_threshold_0.01,test_final,,10,0.3,1,4000,100,27.5797842920354,1709,0.4,0.9684873979874078,0.8742400139084795,0.9389465283320032,0.7592771861890932,0.8396074933095451,85329,153,746,2353
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
xgboost,final_training,202,shap_threshold_0.01,validation,0.01,10,0.3,1,4000,100,27.5797842920354,1709,,,0.8726730333413839,,,,,,,
