feature,importance
TransactionDT,1.1645647
TransactionAmt,1.1176068
card1,1.0220368
card2,0.90468645
P_emaildomain,0.87709326
addr1,0.86857873
C13,0.84772086
C1,0.5672596
id_31,0.5355778
card6,0.48218665
C14,0.40404457
D15,0.3982665
dist1,0.38554445
M4,0.3334585
C11,0.32192993
card5,0.32127815
D10,0.31405452
C2,0.3008891
M5,0.28968835
C6,0.28896034
D4,0.28663298
M6,0.2816912
D1,0.2755827
V70,0.26588637
D2,0.265238
R_emaildomain,0.26491114
C9,0.23699985
V130,0.230917
DeviceInfo,0.2248496
D11,0.20889655
D3,0.20175338
M3,0.19882043
id_30,0.19527574
V294,0.18124431
C5,0.18022884
V127,0.16746047
id_20,0.16146801
M8,0.15777758
id_02,0.15703733
card4,0.15622027
id_33,0.14886504
V91,0.1471345
D5,0.14687884
ProductCD,0.14654143
V82,0.14304495
M9,0.12485569
V11,0.11797853
V258,0.11403993
V76,0.11228759
V10,0.11074427
V62,0.11053834
V308,0.10720064
card3,0.10700418
V307,0.106731005
D8,0.106370226
V61,0.10429682
V54,0.10129857
M7,0.09725157
id_19,0.0938533
V128,0.09371397
id_01,0.0874497
V12,0.08697481
V310,0.08620469
C8,0.08616688
V90,0.083689496
V83,0.083471976
V36,0.081852265
id_06,0.07463117
V314,0.072082214
id_05,0.07164787
D14,0.07091688
C12,0.06930707
V315,0.06863632
V48,0.06854318
dist2,0.06817088
V281,0.0671284
V313,0.066963226
D13,0.06515518
V75,0.06421139
id_15,0.06391142
V285,0.06114815
V131,0.05908393
V13,0.05734854
V67,0.05709339
V53,0.056663446
V96,0.056463275
V35,0.05627642
D9,0.05596139
C10,0.05485869
id_17,0.054149505
V283,0.053716525
V49,0.05311475
D12,0.05251599
V5,0.05183236
V317,0.051553607
V309,0.05017702
V4,0.050024148
V38,0.049190987
V316,0.04861804
V136,0.048585143
V78,0.048349045
M2,0.048269812
V51,0.04787674
V30,0.047683455
V99,0.045121662
V312,0.044404306
id_13,0.043145537
id_38,0.041899573
V320,0.040714294
V165,0.04053858
D6,0.03945792
V45,0.03938201
V291,0.039199285
V69,0.038779948
V133,0.03838944
V306,0.038358707
V87,0.03559252
id_16,0.035097513
V19,0.034766916
V20,0.034458857
V56,0.033558115
V152,0.033382542
V126,0.032920375
V268,0.03001384
id_18,0.029615952
V23,0.029610509
V282,0.029556772
V135,0.029189931
V55,0.028759008
V77,0.02836952
V29,0.02724798
V335,0.026586557
V187,0.02648529
V66,0.025676975
V319,0.025532728
V311,0.024826763
V222,0.024799168
V26,0.024736006
V86,0.024594713
V264,0.024540674
V94,0.024532247
V124,0.024495002
V280,0.024105638
V221,0.023642933
V24,0.023540365
V25,0.023296155
V7,0.022907412
V43,0.022693073
V296,0.02217258
V6,0.02090202
V261,0.020878593
id_14,0.019813377
V37,0.019757263
V156,0.019650169
V39,0.019629149
V44,0.019244641
V201,0.01913355
V292,0.018949663
V34,0.018286353
V33,0.018255737
id_09,0.01799751
V277,0.017957363
V95,0.017793188
V318,0.017790055
V270,0.017705776
C7,0.017684296
V52,0.01753725
V2,0.01741782
D7,0.016889442
C3,0.01662393
V73,0.016589753
V129,0.016258126
V85,0.016234301
V203,0.015943531
V266,0.015733067
V265,0.015144419
V166,0.014976975
V134,0.014521964
V100,0.0143955555
V301,0.014284145
V230,0.014218808
id_03,0.0141360955
V74,0.013833269
V102,0.013686342
V274,0.013568998
addr2,0.013524549
V137,0.013319686
V3,0.01328716
id_11,0.013231829
V139,0.013213363
V132,0.013087806
V42,0.012158429
V321,0.011897836
V260,0.01183696
M1,0.011413351
V234,0.011128104
V9,0.010794852
V262,0.010497985
V263,0.010257096
V209,0.010254558
V18,0.010194535
V295,0.010043785
V46,0.009671145
V84,0.009555437
V145,0.009520185
V47,0.009368539
V303,0.0093117505
V151,0.0091880355
V257,0.009183052
V290,0.009132246
V225,0.008847027
C4,0.008810242
V64,0.008555658
V289,0.008545265
V143,0.008519535
V40,0.008501567
V300,0.008460655
V224,0.00840898
V164,0.008280787
id_37,0.008219836
V175,0.008129952
V115,0.007927038
V276,0.0077654617
V104,0.0076923273
V169,0.0076475907
V8,0.007545604
V149,0.007503396
V271,0.007236017
V159,0.007210563
V125,0.006867013
V229,0.006842169
V333,0.0065475116
V200,0.0065105227
V80,0.0064996113
V204,0.006496578
V336,0.006458556
V79,0.006276316
V108,0.0062582963
V101,0.006040899
V267,0.005935697
V206,0.0059216106
V298,0.0058316393
V302,0.00577357
V160,0.0057688616
V288,0.005692694
V332,0.0056611868
V63,0.0055918912
V93,0.0055831918
V58,0.005572897
id_07,0.0054645254
V171,0.0054247007
V218,0.005331138
V278,0.005143816
V60,0.0050958074
V97,0.005063365
V57,0.005011216
V293,0.005002369
V103,0.0049864976
V245,0.00492105
V279,0.004708113
V326,0.0046885526
V140,0.004635761
V71,0.004619231
V59,0.004604451
V242,0.00459474
V147,0.004535248
V243,0.0044417954
V190,0.00442459
V32,0.0043888604
V275,0.0043362128
V92,0.0041326433
V158,0.0041269977
V272,0.0040948517
V259,0.0040575247
V50,0.0040574917
V202,0.0040215715
V81,0.0039819865
id_08,0.003930936
V109,0.003869219
V323,0.0038476272
V239,0.0037695088
V114,0.003675343
V228,0.0036480941
V233,0.0036235054
V339,0.0036175556
V207,0.0036106391
V150,0.003492961
V324,0.0034482728
V214,0.0034014822
V184,0.0032942868
V162,0.0031784936
V155,0.0030818102
V208,0.003070155
V170,0.003049143
V304,0.003026647
V215,0.002917274
V251,0.0028426158
V287,0.0028271948
V273,0.0027829513
V196,0.0027513993
V299,0.002717526
V16,0.0027035803
V211,0.0026848027
V284,0.0025454946
V255,0.0025320747
V220,0.0025268903
V244,0.002456021
V98,0.0024195816
V105,0.0024010802
V297,0.0023127128
V212,0.0022899993
id_28,0.0022820968
id_26,0.0021095139
id_25,0.0020868818
V17,0.0020700821
V21,0.0019443744
V210,0.0019215405
V176,0.001892184
V248,0.0018805872
V168,0.0018766247
V338,0.0018381211
V123,0.0018185241
V183,0.0018089216
V219,0.0018059348
V116,0.0018046472
V121,0.0017716718
id_10,0.0017178963
V106,0.0017137683
V111,0.0017126243
V188,0.0016784464
V246,0.0015848043
V231,0.0015471606
V253,0.0014913353
V232,0.0014532501
id_24,0.00141111
id_34,0.0014028923
V148,0.0014026281
id_04,0.0013734346
V238,0.0013714107
V185,0.0013625497
V213,0.0013552181
V235,0.001306068
V172,0.0013056622
V180,0.0012838922
id_12,0.0012144365
V110,0.0011531127
V216,0.0011171774
V189,0.001107098
V22,0.0010236801
V167,0.0010183085
V186,0.0009982545
V144,0.0009956614
V161,0.0009745501
id_21,0.00097067456
V217,0.00086941174
V237,0.00084681105
V191,0.00082186755
V112,0.0008196307
V181,0.00081255194
V146,0.00079316343
V14,0.0007722676
V174,0.00063845917
V157,0.00062317104
V113,0.00061466696
V205,0.00060254126
V240,0.0005988226
V192,0.00059221656
V226,0.00059081096
V118,0.0005746283
id_36,0.0005389538
V199,0.00053664116
V249,0.000521499
V236,0.000506664
V163,0.00050505635
V154,0.0005000275
V182,0.0004927126
V227,0.00047916247
DeviceType,0.00047413935
V223,0.00044067352
V15,0.0004303113
V247,0.00041073584
V286,0.00040919328
V256,0.00040092896
V254,0.00035510858
V179,0.00034419523
V337,0.00033855
V331,0.0003049806
V178,0.00028920104
V31,0.00026798036
V72,0.00019626097
V141,0.00018474153
V173,0.00018024787
V334,0.0001719583
V194,0.00016035476
V138,0.00015290969
V250,0.0001272241
V328,9.940125e-05
V197,9.830495e-05
V329,9.697089e-05
id_23,9.434784e-05
V193,5.921812e-05
V120,3.823154e-05
V177,3.170258e-05
V198,0.0
V41,0.0
id_27,0.0
id_29,0.0
id_22,0.0
id_35,0.0
id_32,0.0
V195,0.0
V153,0.0
V142,0.0
V269,0.0
V241,0.0
V252,0.0
V119,0.0
V122,0.0
V28,0.0
V117,0.0
V27,0.0
V107,0.0
V88,0.0
V305,0.0
V322,0.0
V89,0.0
V327,0.0
V330,0.0
V1,0.0
V325,0.0
V68,0.0
V65,0.0
